node_id,in_degree,out_degree,total_degree,undirected_degree
314,277,277,554,277
315,110,110,220,110
316,143,143,286,143
317,10,10,20,10
318,52,52,104,52
319,165,165,330,165
320,66,66,132,66
322,37,37,74,37
323,4,4,8,4
324,43,43,86,43
326,182,182,364,182
329,22,22,44,22
330,10,10,20,10
331,33,33,66,33
335,165,165,330,165
336,200,200,400,200
338,34,34,68,34
339,23,23,46,23
340,93,93,186,93
341,30,30,60,30
342,234,234,468,234
343,386,386,772,386
344,131,131,262,131
345,149,149,298,149
346,52,52,104,52
347,54,54,108,54
348,10,10,20,10
349,32,32,64,32
350,17,17,34,17
353,533,533,1066,533
354,115,115,230,115
355,208,208,416,208
357,117,117,234,117
358,54,54,108,54
360,140,140,280,140
362,14,14,28,14
364,75,75,150,75
367,245,245,490,245
368,126,126,252,126
370,799,799,1598,799
371,17,17,34,17
372,42,42,84,42
373,23,23,46,23
374,27,27,54,27
375,28,28,56,28
376,19,19,38,19
377,34,34,68,34
378,222,222,444,222
379,43,43,86,43
380,47,47,94,47
381,49,49,98,49
382,116,116,232,116
383,323,323,646,323
384,40,40,80,40
385,139,139,278,139
386,143,143,286,143
387,6,6,12,6
388,161,161,322,161
389,17,17,34,17
390,8,8,16,8
391,95,95,190,95
393,145,145,290,145
396,10,10,20,10
397,12,12,24,12
398,131,131,262,131
399,41,41,82,41
400,303,303,606,303
401,65,65,130,65
402,133,133,266,133
403,285,285,570,285
404,203,203,406,203
405,15,15,30,15
406,121,121,242,121
407,15,15,30,15
408,69,69,138,69
409,127,127,254,127
413,23,23,46,23
415,12,12,24,12
416,666,666,1332,666
417,110,110,220,110
418,134,134,268,134
419,35,35,70,35
420,138,138,276,138
422,6,6,12,6
423,355,355,710,355
424,35,35,70,35
425,148,148,296,148
426,155,155,310,155
427,13,13,26,13
429,32,32,64,32
430,171,171,342,171
434,6,6,12,6
436,22,22,44,22
437,7,7,14,7
438,159,159,318,159
439,9,9,18,9
440,53,53,106,53
441,160,160,320,160
442,199,199,398,199
443,399,399,798,399
444,463,463,926,463
445,6,6,12,6
446,131,131,262,131
447,10,10,20,10
448,289,289,578,289
449,154,154,308,154
450,150,150,300,150
451,59,59,118,59
452,269,269,538,269
454,205,205,410,205
455,83,83,166,83
456,98,98,196,98
457,85,85,170,85
458,814,814,1628,814
459,28,28,56,28
461,58,58,116,58
462,171,171,342,171
463,24,24,48,24
464,34,34,68,34
465,77,77,154,77
466,78,78,156,78
467,37,37,74,37
469,75,75,150,75
470,221,221,442,221
471,281,281,562,281
472,117,117,234,117
473,223,223,446,223
474,23,23,46,23
475,64,64,128,64
476,10,10,20,10
477,154,154,308,154
478,495,495,990,495
479,156,156,312,156
480,263,263,526,263
481,293,293,586,293
482,21,21,42,21
483,13,13,26,13
484,68,68,136,68
485,76,76,152,76
486,59,59,118,59
487,218,218,436,218
488,165,165,330,165
489,172,172,344,172
490,217,217,434,217
491,49,49,98,49
492,159,159,318,159
493,94,94,188,94
494,7,7,14,7
495,43,43,86,43
496,17,17,34,17
497,89,89,178,89
498,150,150,300,150
499,262,262,524,262
500,70,70,140,70
501,32,32,64,32
502,95,95,190,95
503,10,10,20,10
504,167,167,334,167
505,73,73,146,73
506,24,24,48,24
507,49,49,98,49
508,132,132,264,132
509,110,110,220,110
510,137,137,274,137
511,40,40,80,40
512,92,92,184,92
513,68,68,136,68
515,67,67,134,67
516,446,446,892,446
517,44,44,88,44
518,45,45,90,45
519,156,156,312,156
520,467,467,934,467
521,72,72,144,72
522,49,49,98,49
523,98,98,196,98
524,29,29,58,29
525,201,201,402,201
526,277,277,554,277
527,83,83,166,83
528,258,258,516,258
529,22,22,44,22
530,342,342,684,342
531,77,77,154,77
532,32,32,64,32
533,126,126,252,126
534,14,14,28,14
535,41,41,82,41
536,35,35,70,35
537,46,46,92,46
538,64,64,128,64
539,229,229,458,229
540,53,53,106,53
541,32,32,64,32
542,54,54,108,54
543,292,292,584,292
544,58,58,116,58
545,66,66,132,66
546,61,61,122,61
547,57,57,114,57
548,32,32,64,32
549,202,202,404,202
550,117,117,234,117
551,208,208,416,208
552,33,33,66,33
553,24,24,48,24
554,203,203,406,203
555,43,43,86,43
556,142,142,284,142
557,66,66,132,66
558,77,77,154,77
559,85,85,170,85
560,135,135,270,135
561,47,47,94,47
562,196,196,392,196
563,137,137,274,137
564,176,176,352,176
565,132,132,264,132
566,523,523,1046,523
567,9,9,18,9
568,83,83,166,83
569,13,13,26,13
570,102,102,204,102
572,165,165,330,165
573,156,156,312,156
574,24,24,48,24
575,203,203,406,203
576,115,115,230,115
577,82,82,164,82
578,38,38,76,38
579,82,82,164,82
580,55,55,110,55
581,275,275,550,275
582,119,119,238,119
583,17,17,34,17
584,37,37,74,37
585,287,287,574,287
586,204,204,408,204
587,67,67,134,67
588,392,392,784,392
589,61,61,122,61
590,35,35,70,35
591,135,135,270,135
592,230,230,460,230
593,158,158,316,158
594,46,46,92,46
595,103,103,206,103
596,207,207,414,207
597,9,9,18,9
598,17,17,34,17
599,105,105,210,105
600,11,11,22,11
601,12,12,24,12
602,58,58,116,58
603,93,93,186,93
604,96,96,192,96
606,30,30,60,30
607,34,34,68,34
608,18,18,36,18
609,5,5,10,5
610,33,33,66,33
611,75,75,150,75
612,46,46,92,46
613,251,251,502,251
614,124,124,248,124
615,86,86,172,86
616,35,35,70,35
617,9,9,18,9
618,11,11,22,11
620,124,124,248,124
621,111,111,222,111
622,41,41,82,41
623,55,55,110,55
624,139,139,278,139
625,59,59,118,59
626,39,39,78,39
627,30,30,60,30
628,17,17,34,17
629,16,16,32,16
630,20,20,40,20
631,98,98,196,98
632,71,71,142,71
633,31,31,62,31
635,67,67,134,67
636,46,46,92,46
638,92,92,184,92
639,440,440,880,440
640,89,89,178,89
641,70,70,140,70
642,103,103,206,103
643,16,16,32,16
644,52,52,104,52
645,132,132,264,132
646,8,8,16,8
647,335,335,670,335
649,5,5,10,5
650,20,20,40,20
651,80,80,160,80
652,440,440,880,440
653,136,136,272,136
654,35,35,70,35
655,38,38,76,38
656,68,68,136,68
657,32,32,64,32
658,105,105,210,105
659,207,207,414,207
660,18,18,36,18
661,44,44,88,44
662,116,116,232,116
